Program launched
-0.0884473 X 	0.00016428 Y 	-0.0656149 Z 	-23.1554 X 	0.0430082 Y 	-17.1779 Z 
-0.0884473 X 	0.00016428 Y 	-0.0656149 Z 	-20.8561 X 	0.0387376 Y 	-15.4722 Z 
-0.0884473 X 	0.00016428 Y 	-0.0656149 Z 	-16.829 X 	0.0312579 Y 	-12.4847 Z 
-0.0884473 X 	0.00016428 Y 	-0.0656149 Z 	-14.153 X 	0.0262875 Y 	-10.4995 Z 
-0.0884473 X 	0.00016428 Y 	-0.0656149 Z 	-12.2085 X 	0.0226758 Y 	-9.05692 Z 
-0.0884473 X 	0.00016428 Y 	-0.0656149 Z 	-10.7445 X 	0.0199566 Y 	-7.97083 Z 
-0.0884473 X 	0.00016428 Y 	-0.0656149 Z 	-9.57492 X 	0.0177842 Y 	-7.10318 Z 
-0.0884473 X 	0.00016428 Y 	-0.0656149 Z 	-8.64212 X 	0.0160517 Y 	-6.41119 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	-7.84423 X 	0 Y 	-5.83199 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	-7.19716 X 	0 Y 	-5.35091 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	-6.65613 X 	0 Y 	-4.94867 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	-6.18491 X 	0 Y 	-4.59833 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0291531 X 	-0.0143795 Y 	0.00911757 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0268038 X 	-0.0132208 Y 	0.00838283 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0248282 X 	-0.0122463 Y 	0.00776498 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0231119 X 	-0.0113997 Y 	0.00722818 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0222198 X 	-0.0109598 Y 	0.0069492 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0222478 X 	-0.0109736 Y 	0.00695796 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0222326 X 	-0.010966 Y 	0.00695319 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0236967 X 	-0.0116882 Y 	0.00741109 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0237731 X 	-0.0117259 Y 	0.00743498 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0222079 X 	-0.0109539 Y 	0.00694548 Z 
