Program launched
-0.0883321 X	0.000296131 Y	-0.065707 Z	-22.3485 X	0.0749225 Y	-16.6242 Z
-0.0883321 X	0.000296131 Y	-0.065707 Z	-20.2524 X	0.0678955 Y	-15.065 Z
-0.0883321 X	0.000296131 Y	-0.065707 Z	-16.5348 X	0.0554325 Y	-12.2996 Z
-0.0883321 X	0.000296131 Y	-0.065707 Z	-14.0054 X	0.0469528 Y	-10.4181 Z
-0.0883321 X	0.000296131 Y	-0.065707 Z	-12.095 X	0.040548 Y	-8.99701 Z
-0.0883321 X	0.000296131 Y	-0.065707 Z	-10.6486 X	0.0356992 Y	-7.92113 Z
-0.0883321 X	0.000296131 Y	-0.065707 Z	-9.50991 X	0.0318817 Y	-7.07407 Z
-0.0883321 X	0.000296131 Y	-0.065707 Z	-8.58874 X	0.0287935 Y	-6.38885 Z
-0.0881142 X	0 Y	-0.0655107 Z	-7.80704 X	0 Y	-5.80434 Z
-0.0881142 X	0 Y	-0.0655107 Z	-7.17381 X	0 Y	-5.33355 Z
-0.0881142 X	0 Y	-0.0655107 Z	-6.63555 X	0 Y	-4.93337 Z
-0.0881142 X	0 Y	-0.0655107 Z	-6.17164 X	0 Y	-4.58846 Z
-0.0881142 X	0 Y	-0.0655107 Z	0.0192565 X	-0.0261669 Y	0.0173473 Z
-0.0881142 X	0 Y	-0.0655107 Z	0.0177057 X	-0.0240596 Y	0.0159503 Z
-0.0881142 X	0 Y	-0.0655107 Z	0.0163827 X	-0.0222618 Y	0.0147584 Z
-0.0881142 X	0 Y	-0.0655107 Z	0.015246 X	-0.0207172 Y	0.0137344 Z
-0.0881142 X	0 Y	-0.0655107 Z	0.0146508 X	-0.0199084 Y	0.0131982 Z
-0.0881142 X	0 Y	-0.0655107 Z	0.0146395 X	-0.0198931 Y	0.0131881 Z
-0.0881142 X	0 Y	-0.0655107 Z	0.014613 X	-0.019857 Y	0.0131642 Z
-0.0881142 X	0 Y	-0.0655107 Z	0.0146173 X	-0.0198628 Y	0.013168 Z
-0.0881142 X	0 Y	-0.0655107 Z	0.0146176 X	-0.0198632 Y	0.0131683 Z
-0.0881142 X	0 Y	-0.0655107 Z	0.0146189 X	-0.019865 Y	0.0131695 Z
-0.0881142 X	0 Y	-0.0655107 Z	0.0146225 X	-0.01987 Y	0.0131728 Z
-0.0881142 X	0 Y	-0.0655107 Z	0 X	0 Y	0 Z
-0.0881142 X	0 Y	-0.0655107 Z	0 X	0 Y	0 Z
