-0.0883247 X 	0.000329065 Y 	-0.0655694 Z 	-22.0344 X 	0.0820919 Y 	-16.3576 Z 
-0.0883247 X 	0.000329065 Y 	-0.0655694 Z 	-20.9616 X 	0.0780951 Y 	-15.5612 Z 
-0.0883247 X 	0.000329065 Y 	-0.0655694 Z 	-16.8827 X 	0.0628985 Y 	-12.5331 Z 
-0.0883247 X 	0.000329065 Y 	-0.0655694 Z 	-14.2497 X 	0.0530892 Y 	-10.5785 Z 
-0.0883247 X 	0.000329065 Y 	-0.0655694 Z 	-12.2604 X 	0.0456777 Y 	-9.10173 Z 
-0.0883247 X 	0.000329065 Y 	-0.0655694 Z 	-10.7777 X 	0.0401537 Y 	-8.00101 Z 
-0.0883247 X 	0.000329065 Y 	-0.0655694 Z 	-9.61355 X 	0.0358165 Y 	-7.13678 Z 
-0.0883247 X 	0.000329065 Y 	-0.0655694 Z 	-8.67312 X 	0.0323128 Y 	-6.43864 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	-7.88736 X 	0 Y 	-5.86405 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	-7.24712 X 	0 Y 	-5.38805 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	-6.70633 X 	0 Y 	-4.98599 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	-6.23691 X 	0 Y 	-4.63699 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.018945 X 	-0.0296112 Y 	0.00528085 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0173935 X 	-0.0271862 Y 	0.00484838 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0160711 X 	-0.0251192 Y 	0.00447976 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0149643 X 	-0.0233894 Y 	0.00417125 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.014141 X 	-0.0221025 Y 	0.00394175 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0141464 X 	-0.0221109 Y 	0.00394325 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0141226 X 	-0.0220737 Y 	0.00393661 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0141537 X 	-0.0221223 Y 	0.00394528 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0141304 X 	-0.0220858 Y 	0.00393878 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.014119 X 	-0.0220681 Y 	0.00393562 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0141077 X 	-0.0220504 Y 	0.00393246 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
