Program launched
-0.0883756 X 	0.000394628 Y 	-0.0655496 Z 	-23.1343 X 	0.103303 Y 	-17.1591 Z 
-0.0883756 X 	0.000394628 Y 	-0.0655496 Z 	-20.9769 X 	0.0936692 Y 	-15.5589 Z 
-0.0883756 X 	0.000394628 Y 	-0.0655496 Z 	-16.9899 X 	0.0758658 Y 	-12.6017 Z 
-0.0883756 X 	0.000394628 Y 	-0.0655496 Z 	-14.2315 X 	0.0635485 Y 	-10.5557 Z 
-0.0883756 X 	0.000394628 Y 	-0.0655496 Z 	-12.3137 X 	0.054985 Y 	-9.13327 Z 
-0.0883756 X 	0.000394628 Y 	-0.0655496 Z 	-10.8064 X 	0.0482544 Y 	-8.0153 Z 
-0.0883756 X 	0.000394628 Y 	-0.0655496 Z 	-9.67016 X 	0.0431806 Y 	-7.17251 Z 
-0.0883756 X 	0.000394628 Y 	-0.0655496 Z 	-8.71962 X 	0.0389361 Y 	-6.46748 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	-7.90964 X 	0 Y 	-5.88062 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	-7.26138 X 	0 Y 	-5.39866 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	-6.71065 X 	0 Y 	-4.9892 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	-6.23609 X 	0 Y 	-4.63638 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0231164 X 	-0.0348942 Y 	0.00343784 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0212444 X 	-0.0320685 Y 	0.00315944 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0196753 X 	-0.0297 Y 	0.00292609 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0182977 X 	-0.0276204 Y 	0.00272121 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0175611 X 	-0.0265085 Y 	0.00261167 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0175567 X 	-0.0265019 Y 	0.00261101 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0175808 X 	-0.0265383 Y 	0.0026146 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0175607 X 	-0.0265079 Y 	0.0026116 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0175686 X 	-0.0265199 Y 	0.00261278 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0175318 X 	-0.0264642 Y 	0.0026073 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0.0175375 X 	-0.0264729 Y 	0.00260815 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
-0.0881142 X 	0 Y 	-0.0655107 Z 	0 X 	0 Y 	0 Z 
