Program launched
-0.0882304 X	3.29451e-05 Y	-0.0657466 Z	-23.6802 X	0.00884217 Y	-17.6458 Z
-0.0882304 X	3.29451e-05 Y	-0.0657466 Z	-20.9455 X	0.00782101 Y	-15.6079 Z
-0.0882304 X	3.29451e-05 Y	-0.0657466 Z	-16.9767 X	0.00633909 Y	-12.6506 Z
-0.0882304 X	3.29451e-05 Y	-0.0657466 Z	-14.2638 X	0.00532607 Y	-10.6289 Z
-0.0882304 X	3.29451e-05 Y	-0.0657466 Z	-12.2587 X	0.00457737 Y	-9.13479 Z
-0.0882304 X	3.29451e-05 Y	-0.0657466 Z	-10.7819 X	0.00402593 Y	-8.03432 Z
-0.0882304 X	3.29451e-05 Y	-0.0657466 Z	-9.60207 X	0.0035854 Y	-7.15518 Z
-0.0882304 X	3.29451e-05 Y	-0.0657466 Z	-8.68309 X	0.00324225 Y	-6.47038 Z
-0.0881142 X	0 Y	-0.0655107 Z	-7.89475 X	0 Y	-5.86955 Z
-0.0881142 X	0 Y	-0.0655107 Z	-7.25503 X	0 Y	-5.39394 Z
-0.0881142 X	0 Y	-0.0655107 Z	-6.70724 X	0 Y	-4.98667 Z
-0.0881142 X	0 Y	-0.0655107 Z	-6.23105 X	0 Y	-4.63263 Z
-0.0881142 X	0 Y	-0.0655107 Z	0.0101909 X	-0.00288981 Y	0.0206929 Z
-0.0881142 X	0 Y	-0.0655107 Z	0.00937505 X	-0.00265847 Y	0.0190364 Z
-0.0881142 X	0 Y	-0.0655107 Z	0.00867437 X	-0.00245978 Y	0.0176136 Z
-0.0881142 X	0 Y	-0.0655107 Z	0.00807581 X	-0.00229004 Y	0.0163982 Z
-0.0881142 X	0 Y	-0.0655107 Z	0.00779503 X	-0.00221043 Y	0.0158281 Z
-0.0881142 X	0 Y	-0.0655107 Z	0.00775797 X	-0.00219991 Y	0.0157528 Z
-0.0881142 X	0 Y	-0.0655107 Z	0.00777206 X	-0.00220391 Y	0.0157814 Z
-0.0881142 X	0 Y	-0.0655107 Z	0.00778256 X	-0.00220689 Y	0.0158028 Z
-0.0881142 X	0 Y	-0.0655107 Z	0.00778423 X	-0.00220736 Y	0.0158062 Z
-0.0881142 X	0 Y	-0.0655107 Z	0.00778513 X	-0.00220762 Y	0.015808 Z
-0.0881142 X	0 Y	-0.0655107 Z	0.00776747 X	-0.00220261 Y	0.0157721 Z
-0.0881142 X	0 Y	-0.0655107 Z	0 X	0 Y	0 Z
